A	?\"a:
Advantage	?E.dv\"a:n.tIdZ
Advantages	?E.dv\"a:n.tIdZs
Advektion	?at.vEk.tsj\"o:n
Adveniat	?at.ve:.nj\"a:t
Advent	?at.v\"Ent
Advente	?at.v\"En.t@
Adventen	?at.v\"En.t@n
Adventes	?at.v\"En.t@s
Adventist	?at.vEn.t\"Ist
Adventisten	?at.vEn.t\"Is.t@n
Adventivbildung	?at.vEn.t\"i:f.b%Il.dUN
Advents	?at.v\"Ents
Adverb	?at.v\"E6p
Adverbs	?at.v\"E6ps
Advokat	?at.vo:.k\"a:t
Advokaten	?at.vo:.k\"a:.t@n
Aero	?a.\"e:.ro:
Aerobier	?a.e:.r\"o:.bj6
Aerobiern	?a.e:.r\"o:.bj6n
Aerobiers	?a.e:.r\"o:.bj6s
Aerobiont	?a.e:.ro:.bj\"Ont
Aerobionten	?a.e:.ro:.bj\"On.t@n
Aerodynamik	?a.e:.ro:.dy:.n\"a:.mIk
Aeroflot	?a.e:.ro:.fl\"Ot
Aerogeologie	?a:.e:.ro:.ge:.o:.lo:.g\"i:
Aerogramm	?a.e:.ro:.gr\"am
Aerogramme	?a.e:.ro:.gr\"a.m@
Aerogrammen	?a.e:.ro:.gr\"a.m@n
Aerogramms	?a.e:.ro:.gr\"ams
Aerolith	?a.e:.ro:.l\"i:t
Aerolithe	?a.e:.ro:.l\"i:.t@
Aerolithen	?a.e:.ro:.l\"i:.t@n
Aeroliths	?a.e:.ro:.l\"i:ts
Aerologie	?a:.e:.ro:.lo:.g\"i:
Aeromechanik	?a.e:.ro:.me:.C\"a:.nIk
Aerometer	?a.e:.ro:.m\"e:.t6
Aerometern	?a.e:.ro:.m\"e:.t6n
Aerometers	?a.e:.ro:.m\"e:.t6s
Aeronaut	?a.e:.ro:.n\"aUt
Aeronautik	?a.e:.ro:.n\"aU.tIk
Aeronomie	?a.e:.ro:.no:.m\"i:
Aeronomisch	?a.e:.ro:.n\"o:.mIS
Aerophagie	?a.e:.ro:.fa.g\"i:
Aerophon	?a.e:.ro:.f\"o:n
Aerophor	?a.e:.ro:.f\"o:6
Aeroplan	?a.e:.ro:.pl\"a:n
Aeroplane	?a.e:.ro:.pl\"a:.n@
Aeroplanen	?a.e:.ro:.pl\"a:.n@n
Aeroplanes	?a.e:.ro:.pl\"a:.n@s
Aeroplans	?a.e:.ro:.pl\"a:ns
Aerosil	?a.e:.ro:.z\"i:l
Aerosol	?a.e:.ro:.z\"o:l
Aerosole	?a.e:.ro:.z\"o:.l@
Aerosolen	?a.e:.ro:.z\"o:.l@n
Aerosols	?a.e:.ro:.z\"o:ls
Aerospace	?\"E:.ro:.sp%EIs
Aerostat	?a.e:.ro:.st\"a:t
Aerostatik	?a.e:.ro:.st\"a:.tIk
Affaire	?a.f\"E:.r@
Affe	?\"a.f@
Affekt	?a.f\"Ekt
Affektation	?a.fEk.ta.tsj\"o:n
Affektationen	?a.fEk.ta.tsj\"o:.n@n
Affekte	?a.f\"Ek.t@
Affekten	?a.f\"Ek.t@n
Affektes	?a.f\"Ek.t@s
Affektion	?a.fEk.tsj\"o:n
Affektionen	?a.fEk.tsj\"o:.n@n
Affektivität	?a.fEk.ti:.vi:.t\"E:t
Affekts	?a.f\"Ekts
Affen	?\"a.f@n
Affiche	?a.f\"I.S@
Affichen	?a.f\"I.S@n
Affidavit	?a.fi:.d\"a:.vIt
Affidavits	?a.fi:.d\"a:.vIts
Affigkeit	?\"a.fIC.kaIt
Affigkeiten	?\"a.fIC.kaI.t@n
Affiliation	?a.fi:l.ja.tsj\"o:n
Affiliationen	?a.fi:l.ja.tsj\"o:.n@n
Affination	?a.fi:.na.tsj\"o:n
Affinität	?a.fi:.ni:.t\"E:t
Affirmation	?a.fI6.ma.tsj\"o:n
Affirmationen	?a.fI6.ma.tsj\"o:.n@n
Affirmativa	?a.fI6.ma.t\"i:.va:
Affix	?a.f\"Iks
Affixe	?a.f\"Ik.s@
Affixen	?a.f\"Ik.s@n
Affixes	?a.f\"Ik.s@s
Affodill	?a.fo:.d\"Il
Affodille	?a.fo:.d\"I.l@
Affodillen	?a.fo:.d\"I.l@n
Affodilles	?a.fo:.d\"I.l@s
Affodills	?a.fo:.d\"Ils
Affrikata	?a.fri:.k\"a:.ta:
Affrikate	?a.fri:.k\"a:.t@
Affrikaten	?a.fri:.k\"a:.t@n
Affront	?a.fr\"O~
Affronts	?a.fr\"O~s
Affäre	?a.f\"E:.r@
Afghane	?af.g\"a:.n@
Afghanen	?af.g\"a:.n@n
Afghanin	?af.g\"a:.nIn
Afghanistan	?af.g\"a:.nIs.ta:n
Afghanistans	?af.g\"a:.nIs.ta:ns
Aflatoxin	?a.fla.tOk.s\"i:n
Afrika	?\"a:.fri:.ka:
Afrikaander	?a.fri:.k\"a:n.d6
Afrikaandern	?a.fri:.k\"a:n.d6n
Afrikaanders	?a.fri:.k\"a:n.d6s
Afrikaans	?a.fri:.k\"a:ns
Afrikander	?a.fri:.k\"an.d6
Afrikandern	?a.fri:.k\"an.d6n
Afrikanders	?a.fri:.k\"an.d6s
Afrikaner	?a.fri:.k\"a:.n6
Afrikanern	?a.fri:.k\"a:.n6n
Afrikaners	?a.fri:.k\"a:.n6s
Afrikanist	?a.fri:.ka.n\"Ist
Afrikanisten	?a.fri:.ka.n\"Is.t@n
Afrikanistik	?a.fri:.ka.n\"Is.tIk
Afrikas	?\"a:.fri:.ka:s
Afroamerikaner	?\"a.fro:.?a.me:.ri:.k%a:.n6
After	?\"af.t6
Aftern	?\"af.t6n
Afters	?\"af.t6s
Aga	?\"a:.ga:
Agame	?a.g\"a:.m@
Agamemnon	?a.ga.m\"Em.nOn
Agamie	?a.ga.m\"i:
Agamogonie	?a:.ga.mo:.go:.n\"i:
Agape	?a.g\"a:.p@
Agapen	?a.g\"a:.p@n
Agar	?\"a.ga6
Agasias	?a.g\"a:.zjas
Agatha	?a.g\"a:.ta:
Agathe	?a.g\"a:.t@
Agave	?a.g\"a:.v@
Agaven	?a.g\"a:.v@n
Agency	?\"EI.dZ@n.si:
Agenda	?a.g\"En.da:
Agende	?a.g\"En.d@
Agenden	?a.g\"En.d@n
Agenor	?a.g\"e:.no:6
Agens	?\"a:.gEns
Agent	?a.g\"Ent
Agenten	?a.g\"En.t@n
Agentie	?a.g\"En.ti:
Agentien	?a.g\"En.ti:.@n
Agentin	?a.g\"En.tIn
Agentinnen	?a.g\"En.tI.n@n
Agentur	?a.gEn.t\"u:6
Agenturen	?a.gEn.t\"u:.r@n
Agenzien	?a.g\"En.tsj@n
Agglomerat	?a.glo:.me:.r\"a:t
Agglomerate	?a.glo:.me:.r\"a:.t@
Agglomeraten	?a.glo:.me:.r\"a:.t@n
Agglomerates	?a.glo:.me:.r\"a:.t@s
Agglomeration	?a.glo:.me:.ra.tsj\"o:n
Agglomerationen	?a.glo:.me:.ra.tsj\"o:.n@n
Agglomerats	?a.glo:.me:.r\"a:ts
Agglutination	?a.glu:.ti:.na.tsj\"o:n
Agglutinationen	?a.glu:.ti:.na.tsj\"o:.n@n
Agglutinin	?a.glu:.ti:.n\"i:n
Agglutinogene	?a.glu:.t\"i:.no:.ge:.n@
Aggravation	?a.gra.va.tsj\"o:n
Aggregat	?a.gre:.g\"a:t
Aggregate	?a.gre:.g\"a:.t@
Aggregaten	?a.gre:.g\"a:.t@n
Aggregates	?a.gre:.g\"a:.t@s
Aggregation	?a.gre:.ga.tsj\"o:n
Aggregationen	?a.gre:.ga.tsj\"o:.n@n
Aggregats	?a.gre:.g\"a:ts
Aggression	?a.grE.sj\"o:n
Aggressionen	?a.grE.sj\"o:.n@n
Aggressivität	?a.grE.si:.vi:.t\"E:t
Aggressor	?a.gr\"E.so:6
Aggressoren	?a.grE.s\"o:.r@n
Aggressors	?a.gr\"E.so:6s
Agien	?\"a:.Zj@n
Agilität	?a.gi:.li:.t\"E:t
Agilolfinger	?\"a:.gi:.lOl.f%I.N6
Agio	?\"a:.Zjo:
Agios	?\"a:.Zjo:s
Agiotage	?a.Zjo:.t\"a:.Z@
Agiotagen	?a.Zjo:.t\"a:.Z@n
Agioteur	?a.Zjo:.t\"2:6
Agioteure	?a.Zjo:.t\"2:.r@
Agioteuren	?a.Zjo:.t\"2:.r@n
Agioteurs	?a.Zjo:.t\"2:6s
Agitation	?a.gi:.ta.tsj\"o:n
Agitationen	?a.gi:.ta.tsj\"o:.n@n
Agitator	?a.gi:.t\"a:.to:6
Agitatoren	?a.gi:.ta.t\"o:.r@n
Agitatorin	?a.gi:.ta.t\"o:.rIn
Agitators	?a.gi:.t\"a:.to:6s
Agitprop	?a.gIt.pr\"Op
Agleybecher	?\"a:.glaI.b%E.C6
Aglykon	?a.gly:.k\"o:n
Agnat	?a.gn\"a:t
Agnaten	?a.gn\"a:.t@n
Agnes	?\"a:.gnEs
Agnition	?a.gni:.tsj\"o:n
Agnosie	?a.gno:.z\"i:
Agnosien	?a.gno:.z\"i:.@n
Agnostiker	?a.gn\"Os.ti:.k6
Agnostikern	?a.gn\"Os.ti:.k6n
Agnostikers	?a.gn\"Os.ti:.k6s
Agnostizismus	?a.gnOs.ti:.ts\"Is.mUs
Agnostus	?a.gn\"Os.tUs
Agogik	?a.g\"o:.gIk
Agone	?a.g\"o:.n@
Agonen	?a.g\"o:.n@n
Agonie	?a.go:.n\"i:
Agonist	?a.go:.n\"Ist
Agonisten	?a.go:.n\"Is.t@n
Agora	?a.go:.r\"a:
Agorakritos	?a.go:.r\"a:.kri:.tOs
Agoraphobie	?a:.go:.ra.fo:.b\"i:
Agoraphobien	?a:.go:.ra.fo:.b\"i:.@n
Agoren	?a.go:.r\"@n
Agorot	?a.gO.r\"Ot
Agosti	?a.g\"Os.ti:
Agra	?\"a:.gra:
Agraffe	?a.gr\"a.f@
Agraffen	?a.gr\"a.f@n
Agrammatismus	?a.gra.ma.t\"Is.mUs
Agranulozytose	?a:.gra.nu:.lo:.tsy:.t\"o:.z@
Agranulozytosen	?a:.gra.nu:.lo:.tsy:.t\"o:.z@n
Agraphie	?a.gra.f\"i:
Agraphien	?a.gra.f\"i:.@n
Agrar	?a.gr\"a:6
Agrarflug	?a.gr\"a:6.fl%u:k
Agrarform	?a.gr\"a:6.f%O6m
Agrarier	?a.gr\"a:6.j6
Agrariern	?a.gr\"a:6.j6n
Agrariers	?a.gr\"a:6.j6s
Agrarland	?a.gr\"a:6.l%ant
Agrarmarkt	?a.gr\"a:6.m%a6kt
Agrarminister	?a.gr\"a:6.mi:.n%Is.t6
Agrarministerin	?a.gr\"a:6.mi:.n%Is.t@.rIn
Agrarpolitik	?a.gr\"a:6.po:.li:.t%i:k
Agrarpolitiken	?a.gr\"a:6.po:.li:.t%i:.k@n
Agrarreform	?a.gr\"a:6.re:.f%O6m
Agrarreformen	?a.gr\"a:6.re:.f%O6.m@n
Agrarstaat	?a.gr\"a:6.St%a:t
Agrarwissenschaft	?a.gr\"a:6.v%I.s@n.Saft
Agrarwissenschaften	?a.gr\"a:6.v%I.s@n.Saf.t@n
Agreement	?E.gr\"i:.m@nt
Agreements	?E.gr\"i:.m@nts
Agrest	?a.gr\"Est
Agricola	?a.gr\"I.ko:.la:
Agrigent	?a.gri:.g\"Ent
Agrikultur	?a.gri:.kUl.t\"u:6
Agrikulturen	?a.gri:.kUl.t\"u:.r@n
Agrobiologie	?\"a.gro:.bi:.o:.lo:.gi:
Agrochemie	?\"a.gro:.Ce:.mi:
Agronom	?a.gro:.n\"o:m
Agronomen	?a.gro:.n\"o:.m@n
Agronomie	?a.gro:.no:.m\"i:
Agrotechnik	?\"a.gro:.tEC.nIk
Agrément	?a.gre:.m\"A~
Agréments	?a.gre:.m\"A~s
Aguti	?a.g\"u:.ti:
Ahasver	?a.has.v\"e:6
Ahasverus	?a.has.v\"e:.rUs
Ahaus	?\"a:.haUs
Ahle	?\"a:.l@
Ahlen	?\"a:.l@n
Ahlrichs	?\"a:l.rICs
Ahmad	?\"ax.ma:t
Ahmed	?\"ax.mEt
Ahmedi	?\"ax.mE.di:
Ahmet	?\"ax.mEt
Ahming	?\"a:.mIN
Ahminge	?\"a:.mI.N@
Ahmingen	?\"a:.mI.N@n
Ahn	?\"a:n
Ahndung	?\"a:n.dUN
Ahndungen	?\"a:n.dU.N@n
Ahne	?\"a:.n@
Ahnen	?\"a:.n@n
Ahnengalerie	?\"a:.n@n.ga.le:.r%i:
Ahnengalerien	?\"a:.n@n.ga.le:.r%i:.@n
Ahnes	?\"a:.n@s
Ahns	?\"a:ns
Ahnung	?\"a:.nUN
Ahnungen	?\"a:.nU.N@n
Ahnungslosigkeit	?\"a:.nUNs.lo:.zIC.kaIt
Ahnungslosigkeiten	?\"a:.nUNs.lo:.zIC.kaI.t@n
Ahorn	?\"a:.hO6n
Ahorne	?\"a:.hO6.n@
Ahornen	?\"a:.hO6.n@n
Ahorns	?\"a:.hO6ns
Ahr	?\"a:6
Ai	?\"a:.i:
Aida	?a.?\"i:.da:
Aide	?\"E:d
Aiden	?\"E:dn
Aidit	?aI.d\"i:t
Aigrette	?E.gr\"E.t@
Aigretten	?E.gr\"E.t@n
Aiguière	?E.gj\"E:6
Aikido	?aI.k\"i:.do:
Aikos	?aI.k\"o:s
Aimak	?a.i:.m\"a:k
Aimoré	?a.i:.mo:.r\"e:
Ainu	?\"aI.nU
Ainus	?\"aI.nUs
Air	?\"E:6
Airedaleterrier	?\"E:6.dEIl.t%E.ri:.6
Aires	?\"aI.r@s
Airikio	?aI.r\"i:.ki:.o:
Airotor	?E.r\"o:.to:6
Airotoren	?E.ro:.t\"o:.r@n
Airs	?\"E:6s
Ais	?\"a:.Is
Aitel	?\"aI.t@l
Aizoazee	?a:.i:.tso:.a.ts\"e:.@
Akademie	?a.ka.de:.m\"i:
Akademien	?a.ka.de:.m\"i:.@n
Akademiker	?a.ka.d\"e:.mi:.k6
Akademikerin	?a.ka.d\"e:.mi:.k@.rIn
Akademikerinnen	?a.ka.d\"e:.mi:.k@.rI.n@n
Akademikern	?a.ka.d\"e:.mI.k6n
Akademikers	?a.ka.d\"e:.mI.k6s
Akademismus	?a.ka.de:.m\"Is.mUs
Akajubaum	?a.ka.Z\"u:.b%aUm
Akanje	?\"a.kan.jE
Akanthi	?a.k\"an.ti:
Akanthit	?a.kan.t\"i:t
Akanthite	?a.kan.t\"i:.t@
Akanthiten	?a.kan.t\"i:.t@n
Akanthites	?a.kan.t\"i:.t@s
Akanthits	?a.kan.t\"i:ts
Akanthus	?a.k\"an.tUs
Akarizid	?a.ka.ri:.ts\"i:t
Akaroidharz	?a.ka.ro:.\"i:t.h%a:6ts
Akaroidharze	?a.ka.ro:.\"i:t.h%a:6.ts@
Akaroidharzen	?a.ka.ro:.\"i:t.h%a:6.ts@n
Akaroidharzes	?a.ka.ro:.\"i:t.h%a:6.ts@s
Akatholik	?a.ka.to:.l\"i:k
Akatholiken	?a.ka.t\"o:.lI.k@n
Akazie	?a.k\"a:t.sj@
Akazien	?a.k\"a:t.sj@n
Akbar	?\"ak.ba6
Ake	?\"a:.k@
Akelei	?a.ke:.l\"aI
Akeleien	?a.ke:.l\"aI.@n
Akinese	?a.ki:.n\"e:.z@
Akinesie	?a.ki:.ne:.z\"i:
Akklamation	?a.kla.ma.tsj\"o:n
Akklamationen	?a.kla.ma.tsj\"o:.n@n
Akklimatisation	?\"a.kli:.ma.ti:.sa.tj%o:n
Akklimatisationen	?\"a.kli:.ma.ti:.sa.tj%o:.n@n
Akklimatisierung	?a.kli:.ma.ti:.z\"i:.rUN
Akklimatisierungen	?a.kli:.ma.ti:.z\"i:.rU.N@n
Akkolade	?a.ko:.l\"a:.d@
Akkoladen	?a.ko:.l\"a:.d@n
Akkomodation	?a.ko:.mo:.da.tsj\"o:n
Akkompagnato	?a.kOm.pa.nj\"a:.to:
Akkompagnatos	?a.kOm.pa.nj\"a:.to:s
Akkompagnement	?a.kOm.pan.j@.m\"A~
Akkompagnements	?a.kOm.pan.j@.m\"A~s
Akkord	?a.k\"O6t
Akkordant	?a.kO6.d\"ant
Akkorde	?a.k\"O6.d@
Akkorden	?a.k\"O6.d@n
Akkordeon	?a.k\"O6.de:.On
Akkordeons	?a.k\"O6.de:.Ons
Akkordes	?a.k\"O6.d@s
Akkordion	?a.k\"O6.djOn
Akkords	?a.k\"O6ts
Akkreditierung	?a.kre:.di:.t\"i:.rUN
Akkreditiv	?a.kre:.di:.t\"i:f
Akkreditive	?a.kre:.di:.t\"i:.v@
Akkreditiven	?a.kre:.di:.t\"i:.v@n
Akkreditivs	?a.kre:.di:.t\"i:fs
Akkreszenz	?a.krEs.ts\"Ents
Akku	?\"a.kU
Akkulturation	?a.kUl.tu:.ra.tsj\"o:n
Akkulturationen	?a.kUl.tu:.ra.tsj\"o:.n@n
Akkumulat	?a.ku:.mu:.l\"a:t
Akkumulate	?a.ku:.mu:.l\"a:.t@
Akkumulaten	?a.ku:.mu:.l\"a:.t@n
Akkumulates	?a.ku:.mu:.l\"a:.t@s
Akkumulation	?a.ku:.mu:.la.tsj\"o:n
Akkumulationen	?a.ku:.mu:.la.tsj\"o:.n@n
Akkumulator	?a.ku:.mu:.l\"a:.to:6
Akkumulatoren	?a.ku:.mu:.l\"a:.to:.r@n
Akkumulators	?a.ku:.mu:.l\"a:.to:6s
Akkumulats	?a.ku:.mu:.l\"a:ts
Akkuratesse	?a.ku:.ra.t\"E.s@
Akkusativ	?\"a.ku:.za.ti:f
Akkusative	?\"a.ku:.za.ti:.v@
Akkusativen	?\"a.ku:.za.ti:.v@n
Akkusativs	?\"a.ku:.za.ti:fs
Akme	?ak.m\"e:
Akne	?\"a.kn@
Aknen	?\"a.kn@n
Akoluth	?a.ko:.l\"u:t
Akonit	?a.ko:.n\"It
Akonitin	?a.ko:.ni:.t\"i:n
Akontozahlung	?a.k\"On.to:.ts%a:.lUN
Akontozahlungen	?a.k\"On.to:.ts%a:.lU.N@n
Akosmismus	?a.kOs.m\"Is.mUs
Akotyledone	?a:.ko:.ty:.le:.d\"o:.n@
Akquisiteur	?a.kvi:.zi:.t\"2:6
Akquisiteure	?a.kvi:.zi:.t\"2:.r@
Akquisiteuren	?a.kvi:.zi:.t\"2:.r@n
Akquisiteurs	?a.kvi:.zi:.t\"2:6s
Akquisition	?a.kvi:.zi:.tsj\"o:n
Akquisitionen	?a.kvi:.zi:.tsj\"o:.n@n
Akquisitor	?a.kvi:.z\"i:.to:6
Akquisitoren	?a.kvi:.z\"i:.to:.r@n
Akquisitors	?a.kvi:.z\"i:.to:6s
Akragas	?\"a:.kra.gas
Akranier	?a.kr\"a:n.j6
Akratherme	?a.kra.t\"E6.m@
Akratopege	?a.kra.to:.p\"e:.g@
Akratopegen	?a.kra.to:.p\"e:.g@n
Akribie	?a.kri:.b\"i:
Akridin	?a.kri:.d\"i:n
Akrobat	?a.kro:.b\"a:t
Akrobaten	?a.kro:.b\"a:.t@n
Akrobatik	?a.kro:.b\"a:.tIk
Akrobatin	?a.kro:.b\"a:.tIn
Akrobatinnen	?a.kro:.b\"a:.tI.n@n
Akrokorinth	?a.kro:.ko:.r\"Int
Akrolein	?a.kro:.le:.?\"i:n
Akroleins	?a.kro:.le:.?\"i:ns
Akrolith	?a.kro:.l\"i:t
Akromegalie	?a:.kro:.me:.ga.l\"i:
Akromegalien	?a:.kro:.me:.ga.l\"i:.@n
Akronym	?a.kro:.n\"y:m
Akronyme	?a.kro:.n\"y:.m@
Akronymen	?a.kro:.n\"y:.m@n
Akronyms	?a.kro:.n\"y:ms
Akropachie	?a.kro:.pa.\"xi:
Akropolis	?a.kr\"o:.po:.lIs
Akrosticha	?a.kr\"Os.ti:.Ca:
Akrostichen	?a.kr\"Os.ti:.C@n
Akrostichon	?a.kr\"Os.ti:.COn
Akrostichons	?a.kr\"Os.ti:.COns
Akroterie	?a.kro:.t\"e:.ri:.@
Akroterien	?a.kro:.t\"e:.ri:.@n
Akroterion	?a.kro:.t\"e:.ri:.On
Akroterions	?a.kro:.t\"e:.ri:.Ons
Akroterium	?a.kro:.t\"e:.ri:.Um
Akrozephale	?a.kro:.tse:.f\"a:.l@
Akrozephalen	?a.kro:.tse:.f\"a:.l@n
Akrozephalie	?a.kro:.tse:.fa.l\"i:
Akrozephalien	?a.kro:.tse:.fa.l\"i:.@n
Akryl	?a.kr\"y:l
Akrylat	?a.kry:.l\"a:t
Akrylharz	?a.kr\"y:l.h%a:6ts
Aksum	?ak.s\"u:m
Akt	?\"akt
Aktant	?ak.t\"ant
Akte	?\"ak.t@
Aktei	?ak.t\"aI
Akteien	?ak.t\"aI.@n
Akten	?\"ak.t@n
Aktes	?\"ak.t@s
Akteur	?ak.t\"2:6
Akteure	?ak.t\"2:.r@
Akteuren	?ak.t\"2:.r@n
Akteurs	?ak.t\"2:6s
Aktie	?\"ak.tsj@
Aktien	?\"ak.tsj@n
Aktimeter	?ak.ti:.m\"e:.t6
Aktinide	?ak.ti:.n\"i:.d@
Aktinie	?ak.t\"i:n.j@
Aktinien	?ak.t\"i:n.j@n
Aktinität	?ak.ti:.ni:.t\"E:t
Aktinium	?ak.t\"i:n.jUm
Aktinograph	?ak.ti:.no:.gr\"a:f
Aktinometer	?ak.ti:.no:.m\"e:.t6
Aktinometern	?ak.ti:.no:.m\"e:.t6n
Aktinometers	?ak.ti:.no:.m\"e:.t6s
Aktinometrie	?ak.ti:.no:.me:.tr\"i:
Aktinomykose	?ak.ti:.no:.my:.k\"o:.z@
Aktinomyzin	?ak.ti:.no:.my:.z\"i:n
Aktinon	?ak.ti:.n\"o:n
Aktion	?ak.tsj\"o:n
Aktionen	?ak.tsj\"o:.n@n
Aktionismus	?ak.tjo:.n\"Is.mUs
Aktionsart	?ak.tsj\"o:ns.?%a6t
Aktionsarten	?ak.tsj\"o:ns.?%a6.t@n
Aktionär	?ak.tsjo:.n\"E:6
Aktionärsversammlung	?ak.tjo:.n\"E:6s.fE6.z%am.lUN
Aktionärsversammlungen	?ak.tjo:.n\"E:6s.fE6.z%am.lU.N@n
Aktium	?\"ak.tsjUm
Aktiv	?\"ak.ti:f
Aktiva	?ak.t\"i:.va:
Aktivation	?ak.ti:.va.tsj\"o:n
Aktivator	?ak.ti:.v\"a:.to:6
Aktivatoren	?ak.ti:.va.t\"o:.r@n
Aktivbürger	?ak.t\"i:f.b%Y6.g6
Aktive	?ak.t\"i:.v@
Aktiven	?ak.t\"i:.v@n
Aktivforderung	?ak.t\"i:f.f%O6.d@.rUN
Aktivforderungen	?ak.t\"i:f.f%O6.d@.rU.N@n
Aktivierung	?ak.ti:.v\"i:.rUN
Aktivierungen	?ak.ti:.v\"i:.rU.N@n
Aktivismus	?ak.ti:.v\"Is.mUs
Aktivist	?ak.ti:.v\"Ist
Aktivisten	?ak.ti:.v\"Is.t@n
Aktivitas	?ak.t\"i:.vi:.tas
Aktivität	?ak.ti:.vi:.t\"E:t
Aktivitäten	?ak.ti:.vi:.t\"E:.t@n
Aktivkohle	?ak.t\"i:f.k%o:.l@
Aktivkohlen	?ak.t\"i:f.k%o:.l@n
Aktivmatrix	?ak.t\"i:f.m%a:.trIks
Aktivposten	?ak.t\"i:f.pOs.t@n
Aktivsalden	?ak.t\"i:f.z%al.d@n
Aktivsaldi	?ak.t\"i:f.z%al.di:
Aktivsaldo	?ak.t\"i:f.z%al.do:
Aktivsaldos	?ak.t\"i:f.z%al.do:s
Aktivtagung	?ak.t\"i:f.t%a:.gUN
Aktivum	?ak.t\"i:.vUm
Aktivvermögen	?ak.t\"i:f.fE6.m%2:.g@n
Aktivzeit	?ak.t\"i:f.ts%aIt
Aktor	?\"ak.to:6
Aktoren	?ak.t\"o:.r@n
Aktrice	?ak.tr\"i:.s@
Aktricen	?ak.tr\"i:.s@n
Akts	?\"akts
Aktualgenese	?ak.tu:.?\"a:l.ge:.n%e:.z@
Aktualisierung	?ak.tu:.a.li:.z\"i:.rUN
Aktualismus	?ak.tu:.a.l\"Is.mUs
Aktualität	?ak.tu:.a.li:.t\"E:t
Aktuar	?ak.th\"a:6
Aktuare	?ak.th\"a:.r@
Aktuaren	?ak.th\"a:.r@n
Aktuarius	?ak.th\"a:.ri:.Us
Aktuars	?ak.th\"a:6s
Aktuator	?ak.tu:.\"a:.to:6
Aktuogeologie	?\"ak.tu:.o:.ge:.o:.lo:.g%i:
Akupressur	?a.kU.prE.s\"u:6
Akupressuren	?a.kU.prE.s\"u:.r@n
Akupunktur	?a.ku:.pUNk.t\"u:6
Akupunkturen	?a.ku:.pUNk.t\"u:.r@n
Akustik	?a.k\"Us.tIk
Akustiker	?a.k\"Us.tI.k6
Akustiklog	?a.k\"Us.tIk.l%Ok
Akut	?a.k\"u:t
Akutagawa	?a.ku:.ta.g\"a:.va:
Akyn	?\"a:.kYn
Akzeleration	?ak.tse:.le:.ra.tsj\"o:n
Akzelerationen	?ak.tse:.le:.ra.tsj\"o:.n@n
Akzelerator	?ak.tse:.le:.r\"a:.to:6
Akzeleratoren	?ak.tse:.le:.ra.t\"o:.r@n
Akzelerators	?ak.tse:.le:.r\"a:.to:6s
Akzent	?ak.ts\"Ent
Akzente	?ak.ts\"En.t@
Akzenten	?ak.ts\"En.t@n
Akzentes	?ak.ts\"En.t@s
Akzents	?ak.ts\"Ents
Akzentuation	?ak.tsEn.tu:.a.tsj\"o:n
Akzentuationen	?ak.tsEn.tu:.a.tsj\"o:.n@n
Akzentuierung	?ak.tsEn.tu:.?\"i:.rUN
Akzentuierungen	?ak.tsEn.tu:.?\"i:.rU.N@n
Akzepisse	?ak.tse:.p\"I.s@
Akzepissen	?ak.tse:.p\"I.s@n
Akzept	?ak.ts\"Ept
Akzeptant	?ak.tsEp.t\"ant
Akzeptanten	?ak.tsEp.t\"an.t@n
Akzeptanz	?ak.tsEp.t\"ants
Akzeptanzen	?ak.tsEp.t\"an.ts@n
Akzeptation	?ak.tsEp.ta.tsj\"o:n
Akzeptationen	?ak.tsEp.ta.tsj\"o:.n@n
Akzepte	?ak.ts\"Ep.t@
Akzepten	?ak.ts\"Ep.t@n
Akzeptes	?ak.ts\"Ep.t@s
Akzeptor	?ak.ts\"Ep.to:6
Akzeptoren	?ak.tsEp.t\"o:.r@n
Akzeptors	?ak.ts\"Ep.to:6s
Akzepts	?ak.ts\"Epts
Akzesse	?ak.ts\"E.s@
Akzessen	?ak.ts\"E.s@n
Akzesses	?ak.ts\"E.s@s
Akzession	?ak.tsE.sj\"o:n
Akzessionen	?ak.tsE.sj\"o:.n@n
Akzessorien	?ak.tsE.s\"o:.ri:.@n
Akzessorietät	?ak.tsE.so:.ri:.e:.t\"E:t
Akzessorietäten	?ak.tsE.so:.ri:.e:.t\"E:.t@n
Akzessorium	?ak.tsE.s\"o:.ri:.Um
Akzeß	?ak.ts\"Es
Akzidens	?\"ak.tsi:.dEns
Akzidenz	?ak.tsi:.d\"Ents
Akzidenzen	?ak.tsi:.d\"En.ts@n
Akzidenzien	?ak.tsi:.d\"En.tsj@n
Akzise	?ak.ts\"i:.z@
Akzisen	?ak.ts\"i:.z@n
Aküsprache	?\"a.kY.Spra:.x@
Alabama	?a.la.b\"a:.ma:
Alabaster	?a.la.b\"as.t6
Alabastern	?a.la.b\"as.t6n
Alabasters	?a.la.b\"as.t6s
Alabastren	?a.la.b\"as.tr@n
Alabastron	?a.l\"a:.bas.trOn
Alai	?a.l\"a.i:
Alain	?a.l\"A~
Alalie	?a.la.l\"i:
Alamein	?a.la.m\"aIn
Alamir	?\"a:.la.mi:6
Aland	?\"a:.lant
Alande	?\"a:.lan.d@
Alane	?a.l\"a:.n@
Alanin	?a.la.n\"i:n
Alant	?a.l\"ant
Alarbus	?a.l\"a6.bUs
Alarich	?\"a:.la.rIC
Alarm	?a.l\"a6m
Alarme	?a.l\"a6.m@
